,0,1,2,3
104,2024-07-04 17:16:30,Current,243,123.0
105,2024-07-04 17:16:31,Current,239,124.0
106,2024-07-04 17:16:33,Current,236,126.0
107,2024-07-04 17:16:34,Current,241,127.0
108,2024-07-04 17:16:35,Current,245,128.0
109,2024-07-04 17:16:36,Current,235,129.0
110,2024-07-04 17:16:38,Current,238,131.0
111,2024-07-04 17:16:39,Current,235,132.0
112,2024-07-04 17:16:41,Current,233,134.0
113,2024-07-04 17:16:42,Current,235,135.0
114,2024-07-04 17:16:43,Current,234,136.0
115,2024-07-04 17:16:44,Current,231,137.0
116,2024-07-04 17:16:46,Current,233,139.0
117,2024-07-04 17:16:47,Current,233,140.0
118,2024-07-04 17:16:48,Current,230,141.0
119,2024-07-04 17:16:50,Current,232,143.0
120,2024-07-04 17:16:51,Current,230,144.0
121,2024-07-04 17:16:52,Current,232,145.0
122,2024-07-04 17:16:54,Current,232,147.0
123,2024-07-04 17:16:55,Current,232,148.0
124,2024-07-04 17:16:56,Current,231,149.0
125,2024-07-04 17:16:58,Current,232,151.0
126,2024-07-04 17:16:59,Current,234,152.0
127,2024-07-04 17:17:00,Current,233,153.0
128,2024-07-04 17:17:01,Current,232,154.0
129,2024-07-04 17:17:03,Current,234,156.0
130,2024-07-04 17:17:04,Current,230,157.0
131,2024-07-04 17:17:05,Current,230,158.0
