Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
23:13:40   3.5   0.0   0.7  95.8   0.0    3   4106   4753    0    0    0 127.33    0.07  65.51   3.76  61.82  0.00 Hz   -N/A-
23:13:41   3.7   0.0   0.6  95.7   0.0    4   3977   4567    0    0    0 127.53    0.07  65.73   3.76  61.80  0.00 Hz   -N/A-
23:13:42   3.6   0.0   0.6  95.8   0.0    4   4098   4550    0    0    0 127.34    0.07  65.53   3.76  61.82  0.00 Hz   -N/A-
23:13:43   2.8   0.0   0.5  96.7   0.0    3   5076   4547    0    0    0 125.76    0.07  63.88   3.76  61.88  0.00 Hz   -N/A-
23:13:44   1.8   0.0   0.4  97.9   0.0    3   6442   4788    7    2    4 123.67    0.07  61.79   3.75  61.88  0.00 Hz   -N/A-
23:13:45   1.9   0.0   0.4  97.8   0.0    2   5896   4191    0    0    0 123.80    0.07  61.97   3.76  61.83  0.00 Hz   -N/A-
23:13:46   1.7   0.0   0.4  97.9   0.0    3   6024   4135    0    0    0 123.54    0.08  61.73   3.76  61.81  0.00 Hz   -N/A-
23:13:47   0.8   0.0   0.1  99.1   0.0    2   7165   4191    0    0    0 121.53    0.07  59.70   1.48  61.83  0.00 Hz   -N/A-
23:13:48   0.0   0.0   0.0 100.0   0.0    1   7959   4105    0    0    0 119.91    0.07  58.09   0.14  61.83  0.00 Hz   -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
23:13:49   0.1   0.0   0.0  99.8   0.0    1   7788   4081    0    0    0 120.11    0.07  58.30   0.14  61.81  0.00 Hz   -N/A-
23:13:50   1.5   0.0   0.3  98.1   0.0    3   6246   4164    0    0    0 123.05    0.07  61.25   3.30  61.81  0.00 Hz   -N/A-
23:13:51   1.9   0.0   0.4  97.8   0.0    3   6013   4306    0    0    0 123.74    0.07  61.92   3.72  61.82  0.00 Hz   -N/A-
23:13:52   1.8   0.0   0.4  97.9   0.0    3   6008   4131    0    0    0 123.59    0.07  61.73   3.72  61.86  0.00 Hz   -N/A-
23:13:53   1.8   0.0   0.4  97.7   0.0    3   5920   4222    0    0    0 123.68    0.07  61.87   3.72  61.82  0.00 Hz   -N/A-
23:13:54   1.7   0.0   0.4  97.9   0.0    2   5994   4100    0    0    0 123.57    0.07  61.77   3.74  61.81  0.00 Hz   -N/A-
23:13:55   1.9   0.0   0.4  97.8   0.0    3   5978   4233    0    0    0 123.74    0.07  61.93   3.74  61.81  0.00 Hz   -N/A-
23:13:56   1.7   0.0   0.4  97.9   0.0    3   6003   4137    0    0    0 123.50    0.08  61.69   3.73  61.81  0.00 Hz   -N/A-
23:13:57   1.9   0.0   0.4  97.8   0.0    2   5878   4160    0    0    0 123.74    0.07  61.93   3.74  61.81  0.00 Hz   -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
23:13:58   0.2   0.0   0.0  99.7   0.0    3   7806   4171    0    0    0 120.34    0.07  58.51   0.56  61.83  0.00 Hz   -N/A-
23:13:59   1.3   0.0   0.2  98.5   0.0    3   6713   4236    0    0    1 122.38    0.07  60.57   2.41  61.81  0.00 Hz   -N/A-
23:14:00   1.7   0.0   0.4  97.9   0.0    3   6003   4115    0    0    0 123.57    0.07  61.70   3.74  61.87  0.00 Hz   -N/A-
23:14:01   1.9   0.0   0.4  97.8   0.0    3   5862   4125    0    0    0 123.80    0.07  61.99   3.75  61.81  0.00 Hz   -N/A-
23:14:02   1.7   0.0   0.4  97.9   0.0    3   5991   4109    0    0    0 123.51    0.07  61.71   3.75  61.80  0.00 Hz   -N/A-
23:14:03   1.9   0.0   0.4  97.7   0.0    3   6047   4329    0    0    0 123.77    0.07  61.95   3.75  61.82  0.00 Hz   -N/A-
23:14:04   1.7   0.0   0.4  97.9   0.0    2   6008   4140    0    0    0 123.52    0.07  61.71   3.75  61.80  0.00 Hz   -N/A-
23:14:05   1.9   0.0   0.4  97.8   0.0    3   5885   4168    0    0    0 123.75    0.07  61.93   3.74  61.81  0.00 Hz   -N/A-
23:14:06   1.7   0.0   0.4  97.9   0.0    3   5997   4133    0    0    0 123.51    0.08  61.70   3.74  61.81  0.00 Hz   -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
23:14:07   0.8   0.0   0.2  99.1   0.0    2   7141   4155    0    0    0 121.48    0.07  59.66   1.48  61.81  0.00 Hz   -N/A-
23:14:08   0.0   0.0   0.0 100.0   0.0    2   7961   4117    0    0    0 119.88    0.07  58.07   0.14  61.81  0.00 Hz   -N/A-
23:14:09   0.1   0.0   0.0  99.9   0.0    3   7776   4062    0    0    0 120.09    0.07  58.28   0.14  61.81  0.00 Hz   -N/A-
23:14:10   1.5   0.0   0.3  98.1   0.0    2   6208   4101    0    0    0 123.12    0.07  61.25   3.32  61.87  0.00 Hz   -N/A-
23:14:11   1.9   0.0   0.4  97.8   0.0    3   5953   4217    0    0    0 123.79    0.07  61.99   3.77  61.80  0.00 Hz   -N/A-
23:14:12   1.7   0.0   0.4  97.9   0.0    3   6031   4149    0    0    0 123.53    0.07  61.71   3.75  61.82  0.00 Hz   -N/A-
23:14:13   1.8   0.0   0.4  97.8   0.0    3   5938   4205    0    0    0 123.73    0.07  61.93   3.75  61.81  0.00 Hz   -N/A-
23:14:14   1.8   0.0   0.4  97.8   0.0    3   6675   4982    6    2    5 123.57    0.07  61.69   3.74  61.87  0.00 Hz   -N/A-
23:14:15   1.8   0.0   0.4  97.8   0.0    3   6000   4281    0    0    0 123.74    0.07  61.92   3.74  61.81  0.00 Hz   -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
23:14:16   1.7   0.0   0.4  97.9   0.0    3   6012   4143    0    0    0 123.53    0.08  61.71   3.76  61.82  0.00 Hz   -N/A-
23:14:17   1.9   0.0   0.4  97.8   0.0    3   5870   4144    0    0    0 123.74    0.07  61.93   3.76  61.81  0.00 Hz   -N/A-
23:14:18   0.2   0.0   0.0  99.7   0.0    1   7752   4131    0    0    0 120.30    0.07  58.49   0.56  61.81  0.00 Hz   -N/A-
23:14:19   1.2   0.0   0.3  98.5   0.0    3   6745   4275    0    0    0 122.44    0.07  60.56   2.41  61.87  0.00 Hz   -N/A-
23:14:20   1.7   0.0   0.4  97.9   0.0    3   6038   4180    0    0    0 123.55    0.07  61.76   3.76  61.80  0.00 Hz   -N/A-
