, Time,RAMWatt,Time Elapsed
232,1720419775.034039,21.03,232.0
233,1720419776.036159,21.0,233.0
234,1720419777.03848,21.02,234.0
235,1720419778.040763,20.99,235.0
236,1720419779.042941,21.15,236.0
237,1720419780.044985,21.0,237.0
238,1720419781.04722,20.92,238.0
239,1720419782.049532,21.0,239.0
240,1720419783.051887,20.99,240.0
241,1720419784.054177,20.96,241.0
242,1720419785.056297,20.97,242.0
243,1720419786.058509,20.85,243.0
244,1720419787.060659,20.89,244.0
245,1720419788.062908,20.83,245.0
246,1720419789.065363,20.83,246.0
247,1720419790.067553,20.88,247.0
248,1720419791.069937,20.83,248.0
249,1720419792.071967,20.89,249.0
250,1720419793.074525,20.89,250.0
251,1720419794.076804,20.86,251.0
252,1720419795.079061,20.87,252.0
253,1720419796.08133,20.88,253.0
254,1720419797.083763,20.9,254.0
255,1720419798.085988,20.86,255.0
256,1720419799.088279,20.87,256.0
257,1720419800.090581,20.8,257.0
258,1720419801.092885,20.85,258.0
259,1720419802.095109,20.87,259.0
260,1720419803.097445,20.86,260.0
261,1720419804.099741,20.86,261.0
262,1720419805.102033,20.84,262.0
263,1720419806.103994,20.87,263.0
264,1720419807.10648,20.9,264.0
265,1720419808.108772,20.87,265.0
266,1720419809.111091,20.85,266.0
267,1720419810.113214,21.4,267.0
268,1720419811.115807,22.08,268.0
269,1720419812.118038,21.76,269.0
270,1720419813.120645,21.76,270.0
271,1720419814.123227,21.24,271.0
272,1720419815.125725,21.16,272.0
273,1720419816.128229,21.08,273.0
274,1720419817.130703,22.25,274.0
275,1720419818.133153,21.11,275.0
276,1720419819.135675,21.12,276.0
277,1720419820.137862,21.03,277.0
278,1720419821.140229,21.1,278.0
279,1720419822.142514,21.06,279.0
280,1720419823.145193,21.09,280.0
281,1720419824.14758,21.07,281.0
282,1720419825.149931,21.05,282.0
283,1720419826.152193,21.08,283.0
284,1720419827.154635,21.1,284.0
285,1720419828.157088,21.12,285.0
286,1720419829.159538,21.07,286.0
287,1720419830.161725,21.1,287.0
288,1720419831.163998,21.12,288.0
289,1720419832.166442,21.09,289.0
290,1720419833.168857,21.14,290.0
291,1720419834.171129,21.09,291.0
292,1720419835.173443,21.11,292.0
293,1720419836.175795,21.07,293.0
294,1720419837.178413,21.06,294.0
295,1720419838.180724,21.06,295.0
296,1720419839.183148,21.1,296.0
297,1720419840.18547,21.15,297.0
298,1720419841.188342,21.08,298.0
299,1720419842.190382,21.11,299.0
300,1720419843.192999,21.08,300.0
301,1720419844.195424,21.09,301.0
302,1720419845.197846,21.14,302.0
303,1720419846.200282,21.11,303.0
304,1720419847.202542,21.06,304.0
305,1720419848.204974,22.26,305.0
306,1720419849.207278,21.17,306.0
307,1720419850.209573,21.16,307.0
308,1720419851.212147,21.08,308.0
309,1720419852.214592,21.11,309.0
310,1720419853.216975,21.1,310.0
311,1720419854.219225,21.11,311.0
312,1720419855.221537,20.99,312.0
313,1720419856.223918,21.04,313.0
314,1720419857.226095,20.97,314.0
315,1720419858.228288,21.01,315.0
316,1720419859.230792,21.01,316.0
317,1720419860.232939,21.04,317.0
318,1720419861.235315,21.02,318.0
319,1720419862.237721,20.97,319.0
320,1720419863.240173,20.97,320.0
321,1720419864.242625,20.97,321.0
322,1720419865.245008,21.01,322.0
323,1720419866.24733,21.03,323.0
324,1720419867.249599,21.04,324.0
325,1720419868.251852,21.07,325.0
326,1720419869.254298,21.01,326.0
327,1720419869.34927,21.01,326.0
