Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
23:19:55   3.7   0.0   0.6  95.7   0.0    4   5371  14917    0    0    0 125.10    0.07  64.07   3.25  61.03  0.00 Hz   -N/A-
23:19:56   3.5   0.0   0.7  95.8   0.0    3   5149  14173    0    0    0 124.98    0.07  63.91   3.27  61.07  0.00 Hz   -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
23:19:57   3.6   0.0   0.7  95.7   0.0    4   5257  14854    0    0    0 125.09    0.07  64.07   3.27  61.02  0.00 Hz   -N/A-
23:19:58   3.4   0.0   0.8  95.8   0.0    3   5276  14767    0    0    0 124.98    0.07  63.97   3.26  61.01  0.00 Hz   -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
23:19:59   3.7   0.0   0.6  95.7   0.0    4   5234  14717    0    0    0 125.15    0.07  64.11   3.25  61.03  0.00 Hz   -N/A-
23:20:00   3.0   0.0   0.6  96.3   0.0    2   5708  13947    0    0    0 124.21    0.07  63.20   2.50  61.02  0.00 Hz   -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
23:20:01   1.9   0.0   0.3  97.8   0.0    3   7083  14192    0    0    0 121.91    0.07  60.89   0.11  61.02  0.00 Hz   -N/A-
23:20:02   2.2   0.0   0.4  97.4   0.0    3   6555  13027    0    0    0 122.53    0.07  61.50   0.85  61.03  0.00 Hz   -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
23:20:03   3.6   0.0   0.6  95.7   0.0    4   5369  15004    0    0    0 125.17    0.07  64.15   3.25  61.02  0.00 Hz   -N/A-
23:20:04   3.5   0.0   0.7  95.8   0.0    3   5141  14677    0    0    0 124.99    0.07  63.97   3.25  61.02  0.00 Hz   -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
23:20:05   3.6   0.0   0.7  95.7   0.0    4   5130  15011    0    0    0 125.11    0.07  64.09   3.26  61.02  0.00 Hz   -N/A-
23:20:06   3.5   0.0   0.6  95.8   0.0    4   5191  14670    0    0    0 125.01    0.07  63.93   3.26  61.08  0.00 Hz   -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
23:20:07   3.6   0.0   0.7  95.7   0.0    5   5204  14382    0    0    0 125.15    0.07  64.14   3.26  61.02  0.00 Hz   -N/A-
23:20:08   3.5   0.0   0.6  95.8   0.0    3   5062  13560    0    0    0 124.96    0.07  63.95   3.26  61.01  0.00 Hz   -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
23:20:09   3.6   0.0   0.7  95.7   0.0    4   5081  13843    0    0    0 125.14    0.07  64.11   3.26  61.03  0.00 Hz   -N/A-
23:20:10   3.1   0.0   0.6  96.3   0.0    2   5746  14645    0    0    0 124.18    0.07  63.17   2.48  61.02  0.00 Hz   -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
23:20:11   1.9   0.0   0.3  97.8   0.0    2   6435   7579    0    0    0 121.62    0.07  60.62   0.11  61.00  0.00 Hz   -N/A-
23:20:12   2.2   0.0   0.4  97.4   0.0    3   5585   4235    0    0    0 122.08    0.07  61.10   0.86  60.98  0.00 Hz   -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
23:20:13   3.6   0.0   0.6  95.7   0.0    3   4070   4666    0    0    0 124.67    0.07  63.67   3.25  61.00  0.00 Hz   -N/A-
23:20:14   3.4   0.0   0.6  95.9   0.0    3   4181   4966    0    0    0 124.43    0.07  63.38   3.12  61.05  0.00 Hz   -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
23:20:15   3.7   0.0   0.6  95.7   0.0    3   4179   5164    0    0    0 124.62    0.07  63.64   3.23  60.98  0.00 Hz   -N/A-
23:20:16   3.6   0.0   0.6  95.8   0.0    3   4155   5019    0    0    0 124.55    0.07  63.57   3.24  60.98  0.00 Hz   -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
23:20:17   3.7   0.0   0.6  95.7   0.0    3   4063   5081    0    0    0 124.64    0.07  63.65   3.24  60.99  0.00 Hz   -N/A-
23:20:18   3.6   0.0   0.6  95.8   0.0    3   4163   5045    0    0    0 124.52    0.07  63.52   3.24  60.99  0.00 Hz   -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
23:20:19   2.4   0.0   0.5  97.1   0.0    2   5407   4560    0    0    0 122.60    0.07  61.60   3.25  61.00  0.00 Hz   -N/A-
23:20:20   1.3   0.0   0.3  98.4   0.0    1   6482   4112    0    0    0 120.55    0.07  59.59   2.45  60.97  0.00 Hz   -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
23:20:21   0.1   0.0   0.0  99.9   0.0    1   7877   4135    0    0    0 118.37    0.07  57.37   0.09  61.00  0.00 Hz   -N/A-
23:20:22   1.4   0.0   0.3  98.4   0.0    3   6994   9439    0    0    0 120.86    0.07  59.86   0.86  61.00  0.00 Hz   -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
23:20:23   3.6   0.0   0.7  95.7   0.0    3   5323  14698    0    0    0 125.14    0.07  64.06   3.26  61.08  0.00 Hz   -N/A-
23:20:24   3.4   0.0   0.7  95.8   0.0    3   5239  14492    0    0    0 124.90    0.07  63.90   3.25  61.01  0.00 Hz   -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
23:20:25   3.6   0.0   0.7  95.7   0.0    4   5190  14835    0    0    0 125.10    0.07  64.10   3.24  61.01  0.00 Hz   -N/A-
23:20:26   3.5   0.0   0.7  95.8   0.0    3   5366  15160    0    0    0 124.94    0.07  63.93   3.26  61.01  0.00 Hz   -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
23:20:27   3.5   0.0   0.7  95.7   0.0    3   5242  14907    0    0    0 125.10    0.07  64.09   3.27  61.01  0.00 Hz   -N/A-
23:20:28   3.5   0.0   0.8  95.8   0.0    3   5273  15559    0    0    0 124.94    0.07  63.93   3.27  61.01  0.00 Hz   -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
23:20:29   3.5   0.0   0.8  95.7   0.0    3   5032  14465    0    0    0 125.10    0.07  64.09   3.26  61.02  0.00 Hz   -N/A-
23:20:30   3.1   0.0   0.6  96.3   0.0    3   5588  13718    0    0    0 124.27    0.07  63.21   2.51  61.06  0.00 Hz   -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
23:20:31   1.9   0.0   0.3  97.8   0.0    2   7125  13837    0    0    0 121.97    0.07  60.94   0.11  61.03  0.00 Hz   -N/A-
23:20:32   2.2   0.0   0.4  97.4   0.0    3   6765  14380    0    0    0 122.53    0.07  61.51   0.87  61.01  0.00 Hz   -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
23:20:33   3.6   0.0   0.7  95.7   0.0    3   5150  14899    0    0    0 125.17    0.07  64.15   3.27  61.02  0.00 Hz   -N/A-
23:20:34   3.5   0.0   0.7  95.8   0.0    3   5123  14752    0    0    0 124.97    0.07  63.96   3.26  61.01  0.00 Hz   -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
23:20:35   3.5   0.0   0.8  95.7   0.0    3   5274  15404    0    0    0 125.18    0.07  64.15   3.25  61.02  0.00 Hz   -N/A-
23:20:36   3.5   0.0   0.7  95.8   0.0    4   5309  15247    0    0    0 125.00    0.07  63.99   3.27  61.01  0.00 Hz   -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
23:20:37   3.7   0.0   0.6  95.7   0.0    3   5231  14782    0    0    0 125.17    0.07  64.15   3.27  61.02  0.00 Hz   -N/A-
23:20:38   3.5   0.0   0.7  95.8   0.0    3   5333  14680    8    4    8 125.02    0.07  63.96   3.27  61.06  0.00 Hz   -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
23:20:39   3.6   0.0   0.7  95.7   0.0    5   5256  14708    0    0    0 125.18    0.07  64.16   3.27  61.02  0.00 Hz   -N/A-
23:20:40   3.1   0.0   0.6  96.3   0.0    2   5553  13739    0    0    0 124.30    0.07  63.22   2.50  61.08  0.00 Hz   -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
23:20:41   1.9   0.0   0.4  97.8   0.0    4   7124  14257    0    0    0 122.01    0.07  60.99   0.11  61.01  0.00 Hz   -N/A-
23:20:42   2.1   0.0   0.5  97.4   0.0    3   6595  13464    0    0    0 122.58    0.07  61.55   0.87  61.03  0.00 Hz   -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
23:20:43   3.6   0.0   0.7  95.7   0.0    4   5305  14364    0    0    0 125.12    0.07  64.10   3.27  61.02  0.00 Hz   -N/A-
23:20:44   3.4   0.0   0.8  95.8   0.0    3   5162  15033    0    0    0 124.93    0.07  63.90   3.24  61.02  0.00 Hz   -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
23:20:45   3.6   0.0   0.7  95.7   0.0    4   5211  15028    0    0    0 125.10    0.07  64.08   3.25  61.02  0.00 Hz   -N/A-
23:20:46   3.4   0.0   0.8  95.8   0.0    3   5355  14978    1    1    1 124.96    0.07  63.94   3.25  61.01  0.00 Hz   -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
23:20:47   3.6   0.0   0.7  95.7   0.0    4   5193  15137    0    0    0 125.15    0.07  64.14   3.26  61.01  0.00 Hz   -N/A-
23:20:48   3.5   0.0   0.7  95.8   0.0    3   5340  15117    0    0    0 125.04    0.07  63.97   3.26  61.08  0.00 Hz   -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
23:20:49   3.7   0.0   0.6  95.7   0.0    4   5095  14818    0    0    0 125.09    0.07  64.07   3.25  61.02  0.00 Hz   -N/A-
23:20:50   3.1   0.0   0.6  96.3   0.0    2   5686  14800    0    0    0 124.23    0.07  63.21   2.49  61.02  0.00 Hz   -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
23:20:51   1.9   0.0   0.4  97.8   0.0    3   7254  14520    0    0    0 121.91    0.07  60.89   0.11  61.02  0.00 Hz   -N/A-
23:20:52   2.2   0.0   0.4  97.4   0.0    3   5885   7251    0    0    0 122.30    0.07  61.31   0.87  60.99  0.00 Hz   -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
23:20:53   3.7   0.0   0.6  95.7   0.0    4   4072   4794    0    0    0 124.70    0.07  63.72   3.25  60.98  0.00 Hz   -N/A-
23:20:54   3.5   0.0   0.6  95.8   0.0    3   4154   4952    0    0    0 124.58    0.07  63.61   3.27  60.97  0.00 Hz   -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
23:20:55   3.6   0.0   0.6  95.7   0.0    3   4174   5147    0    0    0 124.78    0.07  63.74   3.26  61.04  0.00 Hz   -N/A-
23:20:56   3.5   0.0   0.7  95.8   0.0    3   4199   5081    0    0    0 124.60    0.07  63.62   3.27  60.98  0.00 Hz   -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
23:20:57   3.6   0.0   0.6  95.7   0.0    3   4064   4966    0    0    0 124.82    0.07  63.84   3.27  60.99  0.00 Hz   -N/A-
23:20:58   3.6   0.0   0.6  95.8   0.0    3   4158   5052    0    0    0 124.60    0.07  63.61   3.26  60.98  0.00 Hz   -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
23:20:59   3.6   0.0   0.6  95.7   0.0    3   4158   5213    0    0    0 124.76    0.07  63.76   3.26  60.99  0.00 Hz   -N/A-
23:21:00   1.9   0.0   0.3  97.7   0.0    1   5872   4430    0    0    0 121.69    0.07  60.71   2.49  60.98  0.00 Hz   -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
23:21:01   0.1   0.0   0.0  99.9   0.0    1   7855   4104    0    0    0 118.34    0.07  57.35   0.09  60.98  0.00 Hz   -N/A-
23:21:02   0.4   0.0   0.1  99.5   0.0    2   7453   4076    0    0    0 118.95    0.07  57.97   0.84  60.99  0.00 Hz   -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
23:21:03   2.8   0.0   0.6  96.6   0.0    3   5551  10020    0    0    0 123.57    0.07  62.58   3.26  60.99  0.00 Hz   -N/A-
23:21:04   3.5   0.0   0.7  95.8   0.0    3   5186  13931    0    0    0 125.02    0.07  63.97   3.27  61.06  0.00 Hz   -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
23:21:05   3.5   0.0   0.7  95.7   0.0    3   5169  14761    0    0    0 125.16    0.07  64.14   3.28  61.02  0.00 Hz   -N/A-
23:21:06   3.5   0.0   0.7  95.8   0.0    3   5205  14742    0    0    0 124.99    0.07  63.98   3.26  61.01  0.00 Hz   -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
23:21:07   3.5   0.0   0.8  95.7   0.0    3   5159  14508    0    0    0 125.20    0.07  64.19   3.27  61.01  0.00 Hz   -N/A-
23:21:08   3.5   0.0   0.7  95.8   0.0    3   5281  15048    0    0    0 125.00    0.07  63.99   3.26  61.01  0.00 Hz   -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
23:21:09   3.6   0.0   0.7  95.7   0.0    3   4944  14377    0    0    0 125.15    0.07  64.14   3.27  61.01  0.00 Hz   -N/A-
23:21:10   3.0   0.0   0.6  96.4   0.0    2   5675  14741    0    0    0 124.02    0.07  63.01   2.37  61.01  0.00 Hz   -N/A-
 
