Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
23:23:18   1.8   0.0   0.4  97.9   0.0    2   7246  14523    0    0    0 121.76    0.07  60.75   0.11  61.01  0.00 Hz   -N/A-
23:23:19   1.9   0.0   0.3  97.8   0.0    2   7167  13907    0    0    0 121.88    0.07  60.86   0.11  61.02  0.00 Hz   -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
23:23:20   1.8   0.0   0.3  97.9   0.0    2   7263  14334    0    0    0 121.79    0.07  60.78   0.10  61.01  0.00 Hz   -N/A-
23:23:21   1.9   0.0   0.4  97.8   0.0    2   7046  14661    0    0    0 121.93    0.07  60.91   0.11  61.02  0.00 Hz   -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
23:23:22   2.1   0.0   0.4  97.5   0.0    3   6772  14439    0    0    0 122.43    0.07  61.42   0.73  61.01  0.00 Hz   -N/A-
23:23:23   3.6   0.0   0.7  95.7   0.0    3   5146  15232    0    0    0 125.14    0.07  64.11   3.26  61.03  0.00 Hz   -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
23:23:24   3.5   0.0   0.6  95.8   0.0    3   5403  16288    0    0    0 125.01    0.07  63.99   3.25  61.02  0.00 Hz   -N/A-
23:23:25   3.6   0.0   0.7  95.7   0.0    3   5363  16088    0    0    0 125.19    0.07  64.11   3.24  61.08  0.00 Hz   -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
23:23:26   3.5   0.0   0.7  95.8   0.0    3   5374  15134    0    0    0 124.99    0.07  63.97   3.23  61.02  0.00 Hz   -N/A-
