Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    dram  pkg-0   dram  pkg-1 x86_pk x86_pk  CPU Freq  GPU W
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    dram  pkg-0   dram  pkg-1 x86_pk x86_pk  CPU Freq  GPU W
17:20:28   0.0   0.0   0.0 100.0   0.0    2    304    221    0    0    0  22.25    1.24  12.20   0.78  10.05  23.00  22.00  1.39 GHz  -N/A-
17:20:29   0.0   0.0   0.0 100.0   0.0    1    274    229    0    0    0  22.89    1.30  12.50   0.91  10.39  23.00  22.00  1.49 GHz  -N/A-
17:20:30   0.0   0.0   0.0 100.0   0.0    2    303    244    0    0    0  22.88    1.39  12.48   0.86  10.40  22.00  22.00  1.43 GHz  -N/A-
17:20:31   0.0   0.0   0.0 100.0   0.0    1    390    306    0    0    0  23.23    1.44  12.60   1.12  10.62  22.00  22.00  1.20 GHz  -N/A-
17:20:32   0.0   0.0   0.0 100.0   0.0    2    311    242    0    0    0  22.87    1.37  12.44   0.99  10.43  23.00  22.00  1.53 GHz  -N/A-
17:20:33   0.0   0.0   0.0  99.9   0.0    1    307    218    0    0    0  21.96    1.23  12.19   0.72   9.76  23.00  22.00  1.40 GHz  -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    dram  pkg-0   dram  pkg-1 x86_pk x86_pk  CPU Freq  GPU W
17:20:34   0.0   0.0   0.0 100.0   0.0    2    250    192    0    0    0  22.10    1.25  12.14   0.75   9.96  23.00  22.00  1.44 GHz  -N/A-
17:20:35   0.0   0.0   0.0 100.0   0.0    1    382    263    0    0    0  22.83    1.37  12.68   0.87  10.15  23.00  22.00  1.27 GHz  -N/A-
17:20:36   0.0   0.0   0.0 100.0   0.0    1    365    278    0    0    0  23.81    1.49  12.95   1.01  10.86  22.00  22.00  1.31 GHz  -N/A-
17:20:37   0.0   0.0   0.1  99.9   0.0    1    466    701    8    4    8  27.87    1.88  14.54   1.46  13.33  23.00  22.00  1.58 GHz  -N/A-
17:20:38   0.0   0.0   0.0 100.0   0.0    2    375    299    0    0    0  25.89    1.56  13.35   1.14  12.54  23.00  22.00  1.31 GHz  -N/A-
17:20:39   0.0   0.0   0.0 100.0   0.0    1    403    312    0    0    0  23.54    1.41  12.32   0.93  11.22  22.00  22.00  1.32 GHz  -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    dram  pkg-0   dram  pkg-1 x86_pk x86_pk  CPU Freq  GPU W
17:20:40   0.0   0.0   0.0 100.0   0.0    2    284    231    0    0    0  23.11    1.38  12.68   0.84  10.43  22.00  21.00  1.37 GHz  -N/A-
17:20:41   0.0   0.0   0.0 100.0   0.0    1    318    246    0    0    0  23.35    1.27  12.74   0.82  10.61  23.00  21.00  1.42 GHz  -N/A-
17:20:42   0.0   0.0   0.0 100.0   0.0    2    300    208    0    0    0  22.58    1.28  12.33   0.86  10.26  22.00  21.00  1.34 GHz  -N/A-
17:20:43   0.0   0.0   0.0 100.0   0.0    1    417    278    0    0    0  23.13    1.35  13.02   0.92  10.12  23.00  22.00  1.37 GHz  -N/A-
17:20:44   0.0   0.0   0.0 100.0   0.0    2    367    335    0    0    0  25.37    1.59  14.11   1.11  11.25  22.00  22.00  1.57 GHz  -N/A-
17:20:45   0.0   0.0   0.0 100.0   0.0    1    346    271    0    0    0  24.03    1.35  13.28   1.03  10.75  22.00  22.00  1.58 GHz  -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    dram  pkg-0   dram  pkg-1 x86_pk x86_pk  CPU Freq  GPU W
17:20:46   0.0   0.0   0.0 100.0   0.0    1    349    279    0    0    0  24.38    1.41  13.61   1.06  10.77  22.00  22.00  1.39 GHz  -N/A-
17:20:47   0.0   0.0   0.0 100.0   0.0    1    423    320    0    0    0  23.88    1.47  13.07   1.07  10.80  22.00  21.00  1.21 GHz  -N/A-
17:20:48   0.0   0.0   0.0 100.0   0.0    2    323    243    0    0    0  24.30    1.38  13.58   1.00  10.72  22.00  21.00  1.44 GHz  -N/A-
