Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    dram  pkg-0   dram  pkg-1 x86_pk x86_pk  CPU Freq  GPU W
23:44:13   0.0   0.0   0.0 100.0   0.0    2    298    244    0    0    0  22.73    1.28  12.31   0.95  10.42  20.00  20.00  1.46 GHz  -N/A-
23:44:14   0.0   0.0   0.0 100.0   0.0    2    281    217    0    0    0  22.34    1.24  12.42   0.86   9.92  20.00  20.00  1.62 GHz  -N/A-
23:44:15   0.0   0.0   0.0 100.0   0.0    2    386    294    0    0    0  22.34    1.32  11.96   0.97  10.38  20.00  20.00  1.24 GHz  -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    dram  pkg-0   dram  pkg-1 x86_pk x86_pk  CPU Freq  GPU W
23:44:16   0.0   0.0   0.0 100.0   0.0    2    272    177    0    0    0  21.79    1.09  12.55   0.64   9.24  20.00  20.00  1.48 GHz  -N/A-
23:44:17   0.0   0.0   0.0 100.0   0.0    2    315    192    0    0    0  21.25    1.14  11.99   0.63   9.27  19.00  20.00  1.33 GHz  -N/A-
23:44:18   0.0   0.0   0.0 100.0   0.0    2    339    213    0    0    0  21.01    1.20  11.71   0.63   9.30  20.00  20.00  1.34 GHz  -N/A-
23:44:19   0.0   0.0   0.0 100.0   0.0    2    357    267    0    0    0  23.42    1.38  12.88   1.05  10.55  20.00  20.00  1.34 GHz  -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    dram  pkg-0   dram  pkg-1 x86_pk x86_pk  CPU Freq  GPU W
23:44:20   0.0   0.0   0.0 100.0   0.0    2    296    221    0    0    0  21.63    1.25  11.72   0.73   9.91  19.00  20.00  1.45 GHz  -N/A-
23:44:21   0.0   0.0   0.0 100.0   0.0    2    282    222    0    0    0  23.22    1.21  13.20   0.85  10.02  19.00  20.00  1.43 GHz  -N/A-
23:44:22   0.0   0.0   0.0 100.0   0.0    2    415    295    0    0    0  22.81    1.33  12.31   1.02  10.50  20.00  20.00  1.45 GHz  -N/A-
23:44:23   0.0   0.0   0.0 100.0   0.0    2    543    480    0    0    0  28.25    1.72  14.75   1.54  13.50  20.00  20.00  1.26 GHz  -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    dram  pkg-0   dram  pkg-1 x86_pk x86_pk  CPU Freq  GPU W
23:44:24   0.0   0.0   0.0 100.0   0.0    2    363    329    0    0    0  24.99    1.39  13.02   1.21  11.96  19.00  20.00  1.56 GHz  -N/A-
23:44:25   0.0   0.0   0.0 100.0   0.0    2    276    209    0    0    0  21.35    1.18  11.51   0.74   9.84  19.00  20.00  1.41 GHz  -N/A-
23:44:26   0.0   0.0   0.0 100.0   0.0    2    373    217    0    0    0  21.43    1.13  11.99   0.73   9.44  19.00  20.00  1.52 GHz  -N/A-
23:44:27   0.0   0.0   0.0  99.9   0.0    2   1286    613   17    0   11  23.73    1.54  12.83   1.17  10.90  20.00  20.00  1.74 GHz  -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    dram  pkg-0   dram  pkg-1 x86_pk x86_pk  CPU Freq  GPU W
23:44:28   0.0   0.0   0.0 100.0   0.0    2    335    256    0    0    0  22.80    1.30  12.20   0.93  10.60  19.00  20.00  1.40 GHz  -N/A-
23:44:29   0.0   0.0   0.0 100.0   0.0    2    276    212    0    0    0  21.72    1.16  12.08   0.77   9.64  19.00  20.00  1.55 GHz  -N/A-
23:44:30   0.0   0.0   0.0 100.0   0.0    2    294    213    0    0    0  22.07    1.14  12.32   0.81   9.75  19.00  20.00  1.46 GHz  -N/A-
23:44:31   0.0   0.0   0.0 100.0   0.0    2    407    292    0    0    0  23.04    1.33  12.77   0.91  10.27  20.00  20.00  1.28 GHz  -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    dram  pkg-0   dram  pkg-1 x86_pk x86_pk  CPU Freq  GPU W
23:44:32   0.0   0.0   0.0 100.0   0.0    2    311    237    0    0    0  22.35    1.27  12.24   0.96  10.11  19.00  20.00  1.48 GHz  -N/A-
23:44:33   0.0   0.0   0.0 100.0   0.0    2    296    209    0    0    0  21.83    1.24  12.10   0.74   9.73  19.00  20.00  1.41 GHz  -N/A-
